CustomerKey,CustomerID,CustomerName,Gender,AgeGroup,GeographyKey,SignupDate,CustomerSegment,Region,State,City,CustomerType
171,CUST000171,Customer 000171,Male,35-44,26,2023-01-31,Champions,East,Odisha,Bhubaneswar,Existing
172,CUST000172,Customer 000172,Male,35-44,3,2023-04-06,Occasional,North,Uttar Pradesh,Kanpur,Existing
173,CUST000173,Customer 000173,Female,25-34,24,2021-05-23,Occasional,South,Kerala,Thiruvananthapuram,Existing
174,CUST000174,Customer 000174,Male,55+,21,2024-04-05,Low Value,South,Telangana,Hyderabad,Existing
175,CUST000175,Customer 000175,Female,25-34,2,2023-12-30,Loyal,North,Uttar Pradesh,Lucknow,Existing
176,CUST000176,Customer 000176,Female,35-44,2,2023-09-19,Potential Loyalist,North,Uttar Pradesh,Lucknow,Existing
177,CUST000177,Customer 000177,Male,45-54,20,2023-10-19,Low Value,South,Tamil Nadu,Coimbatore,Existing
178,CUST000178,Customer 000178,Female,45-54,23,2025-02-28,At Risk,South,Kerala,Kochi,Existing
179,CUST000179,Customer 000179,Female,25-34,10,2025-03-24,Loyal,West,Maharashtra,Pune,Existing
180,CUST000180,Customer 000180,Female,35-44,20,2024-04-01,Low Value,South,Tamil Nadu,Coimbatore,Existing
181,CUST000181,Customer 000181,Female,18-24,9,2025-05-18,Occasional,West,Maharashtra,Mumbai,Existing
182,CUST000182,Customer 000182,Male,45-54,18,2024-08-03,Potential Loyalist,South,Karnataka,Mysuru,Existing
183,CUST000183,Customer 000183,Female,45-54,6,2024-06-11,Champions,North,Haryana,Gurugram,Existing
184,CUST000184,Customer 000184,Male,18-24,20,2025-10-20,Occasional,South,Tamil Nadu,Coimbatore,New
185,CUST000185,Customer 000185,Female,35-44,6,2024-09-29,Occasional,North,Haryana,Gurugram,Existing
186,CUST000186,Customer 000186,Female,25-34,26,2024-06-30,Potential Loyalist,East,Odisha,Bhubaneswar,Existing
187,CUST000187,Customer 000187,Female,45-54,25,2022-12-07,Loyal,East,West Bengal,Kolkata,Existing
188,CUST000188,Customer 000188,Male,25-34,10,2021-09-14,Champions,West,Maharashtra,Pune,Existing
189,CUST000189,Customer 000189,Male,35-44,28,2023-04-22,Low Value,East,Jharkhand,Ranchi,Existing
190,CUST000190,Customer 000190,Other,35-44,25,2025-03-10,Champions,East,West Bengal,Kolkata,Existing
191,CUST000191,Customer 000191,Female,25-34,9,2025-11-13,Occasional,West,Maharashtra,Mumbai,New
192,CUST000192,Customer 000192,Male,25-34,9,2025-02-03,At Risk,West,Maharashtra,Mumbai,Existing
193,CUST000193,Customer 000193,Male,55+,3,2024-08-05,At Risk,North,Uttar Pradesh,Kanpur,Existing
194,CUST000194,Customer 000194,Female,25-34,12,2022-09-12,Occasional,West,Gujarat,Ahmedabad,Existing
195,CUST000195,Customer 000195,Female,35-44,11,2022-07-03,Occasional,West,Maharashtra,Nagpur,Existing
196,CUST000196,Customer 000196,Male,35-44,14,2025-03-09,Occasional,West,Goa,Panaji,Existing
197,CUST000197,Customer 000197,Male,35-44,25,2025-03-27,Potential Loyalist,East,West Bengal,Kolkata,Existing
198,CUST000198,Customer 000198,Male,45-54,19,2024-01-13,Loyal,South,Tamil Nadu,Chennai,Existing
199,CUST000199,Customer 000199,Male,25-34,10,2025-10-20,Occasional,West,Maharashtra,Pune,New
200,CUST000200,Customer 000200,Female,35-44,19,2025-11-09,Champions,South,Tamil Nadu,Chennai,New
201,CUST000201,Customer 000201,Female,25-34,5,2022-07-13,Occasional,North,Uttar Pradesh,Varanasi,Existing
202,CUST000202,Customer 000202,Female,45-54,22,2021-12-11,Occasional,South,Andhra Pradesh,Vijayawada,Existing
203,CUST000203,Customer 000203,Female,25-34,9,2022-01-14,Potential Loyalist,West,Maharashtra,Mumbai,Existing
204,CUST000204,Customer 000204,Female,45-54,1,2021-05-12,Occasional,North,Delhi,Delhi,Existing
205,CUST000205,Customer 000205,Female,35-44,15,2024-05-19,Low Value,West,Madhya Pradesh,Indore,Existing
206,CUST000206,Customer 000206,Female,25-34,24,2022-12-18,Occasional,South,Kerala,Thiruvananthapuram,Existing
207,CUST000207,Customer 000207,Female,25-34,4,2025-06-07,Loyal,North,Uttar Pradesh,Noida,Existing
208,CUST000208,Customer 000208,Male,35-44,26,2021-03-18,Occasional,East,Odisha,Bhubaneswar,Existing
209,CUST000209,Customer 000209,Male,25-34,7,2024-03-09,Potential Loyalist,North,Punjab,Ludhiana,Existing
210,CUST000210,Customer 000210,Male,18-24,6,2024-02-26,Loyal,North,Haryana,Gurugram,Existing
211,CUST000211,Customer 000211,Female,35-44,15,2023-12-26,Occasional,West,Madhya Pradesh,Indore,Existing
212,CUST000212,Customer 000212,Female,55+,6,2023-07-22,Potential Loyalist,North,Haryana,Gurugram,Existing
213,CUST000213,Customer 000213,Male,25-34,7,2023-01-24,At Risk,North,Punjab,Ludhiana,Existing
214,CUST000214,Customer 000214,Male,25-34,20,2025-08-14,Occasional,South,Tamil Nadu,Coimbatore,New
215,CUST000215,Customer 000215,Female,35-44,22,2025-05-10,Loyal,South,Andhra Pradesh,Vijayawada,Existing
216,CUST000216,Customer 000216,Female,25-34,3,2021-05-27,Potential Loyalist,North,Uttar Pradesh,Kanpur,Existing
217,CUST000217,Customer 000217,Female,35-44,21,2021-03-08,Potential Loyalist,South,Telangana,Hyderabad,Existing
218,CUST000218,Customer 000218,Female,25-34,29,2022-04-17,Loyal,Central,Chhattisgarh,Raipur,Existing
219,CUST000219,Customer 000219,Male,45-54,29,2021-05-31,At Risk,Central,Chhattisgarh,Raipur,Existing
220,CUST000220,Customer 000220,Female,18-24,13,2021-01-04,Potential Loyalist,West,Gujarat,Surat,Existing
221,CUST000221,Customer 000221,Female,25-34,2,2023-11-08,Occasional,North,Uttar Pradesh,Lucknow,Existing
222,CUST000222,Customer 000222,Male,45-54,3,2022-06-08,Low Value,North,Uttar Pradesh,Kanpur,Existing
223,CUST000223,Customer 000223,Female,45-54,13,2021-09-13,Occasional,West,Gujarat,Surat,Existing
224,CUST000224,Customer 000224,Male,45-54,9,2025-03-13,Loyal,West,Maharashtra,Mumbai,Existing
225,CUST000225,Customer 000225,Male,25-34,22,2023-11-25,At Risk,South,Andhra Pradesh,Vijayawada,Existing
226,CUST000226,Customer 000226,Male,25-34,19,2023-07-12,Potential Loyalist,South,Tamil Nadu,Chennai,Existing
227,CUST000227,Customer 000227,Male,25-34,18,2022-07-09,Occasional,South,Karnataka,Mysuru,Existing
228,CUST000228,Customer 000228,Female,45-54,5,2022-08-13,Low Value,North,Uttar Pradesh,Varanasi,Existing
229,CUST000229,Customer 000229,Female,35-44,10,2025-03-11,Occasional,West,Maharashtra,Pune,Existing
230,CUST000230,Customer 000230,Female,25-34,14,2021-11-19,Potential Loyalist,West,Goa,Panaji,Existing
231,CUST000231,Customer 000231,Male,25-34,21,2022-03-29,Occasional,South,Telangana,Hyderabad,Existing
232,CUST000232,Customer 000232,Female,35-44,17,2023-05-11,Loyal,South,Karnataka,Bengaluru,Existing
233,CUST000233,Customer 000233,Female,45-54,3,2021-12-25,Low Value,North,Uttar Pradesh,Kanpur,Existing
234,CUST000234,Customer 000234,Male,25-34,7,2021-02-21,Low Value,North,Punjab,Ludhiana,Existing
235,CUST000235,Customer 000235,Male,35-44,9,2022-06-13,Occasional,West,Maharashtra,Mumbai,Existing
236,CUST000236,Customer 000236,Female,35-44,5,2022-12-24,Loyal,North,Uttar Pradesh,Varanasi,Existing
237,CUST000237,Customer 000237,Female,25-34,4,2025-10-29,Potential Loyalist,North,Uttar Pradesh,Noida,New
238,CUST000238,Customer 000238,Male,45-54,3,2021-02-02,Potential Loyalist,North,Uttar Pradesh,Kanpur,Existing
239,CUST000239,Customer 000239,Female,25-34,26,2024-09-13,Potential Loyalist,East,Odisha,Bhubaneswar,Existing
240,CUST000240,Customer 000240,Female,25-34,13,2022-03-12,Loyal,West,Gujarat,Surat,Existing
241,CUST000241,Customer 000241,Female,25-34,9,2023-09-24,Potential Loyalist,West,Maharashtra,Mumbai,Existing
242,CUST000242,Customer 000242,Female,55+,23,2024-12-13,Occasional,South,Kerala,Kochi,Existing
243,CUST000243,Customer 000243,Female,35-44,28,2023-04-29,Occasional,East,Jharkhand,Ranchi,Existing
244,CUST000244,Customer 000244,Male,25-34,7,2023-03-24,Low Value,North,Punjab,Ludhiana,Existing
245,CUST000245,Customer 000245,Female,25-34,29,2021-03-18,Loyal,Central,Chhattisgarh,Raipur,Existing
246,CUST000246,Customer 000246,Female,18-24,8,2022-08-03,Loyal,North,Rajasthan,Jaipur,Existing
247,CUST000247,Customer 000247,Male,35-44,10,2023-12-10,Loyal,West,Maharashtra,Pune,Existing
248,CUST000248,Customer 000248,Female,35-44,1,2022-03-18,Low Value,North,Delhi,Delhi,Existing
249,CUST000249,Customer 000249,Other,35-44,27,2022-11-01,Potential Loyalist,East,Bihar,Patna,Existing
