ProductKey,ProductID,ProductName,Category,Subcategory,Brand,Supplier,UnitCost,ListPrice,ProductLaunchDate,ProductStatus
15,PRD00015,Fashion Accessories Product 0015,Fashion,Accessories,Apex,Supplier B,540.15,913.29,2021-01-25,Active
16,PRD00016,Home & Kitchen Kitchen Appliances Product 0016,Home & Kitchen,Kitchen Appliances,XBrand,Supplier E,29743.51,45463.03,2022-01-06,Inactive
17,PRD00017,Home & Kitchen Home Decor Product 0017,Home & Kitchen,Home Decor,Nova,Supplier C,537.01,801.29,2022-06-09,Active
18,PRD00018,Home & Kitchen Furniture Product 0018,Home & Kitchen,Furniture,XBrand,Supplier F,1140.88,1424.65,2024-09-04,Active
19,PRD00019,Grocery & FMCG Beverages Product 0019,Grocery & FMCG,Beverages,XBrand,Supplier B,3818.32,4458.63,2021-08-18,Active
20,PRD00020,Fashion Mens Apparel Product 0020,Fashion,Mens Apparel,Vertex,Supplier A,378.42,569.88,2024-01-31,Active
21,PRD00021,Home & Kitchen Cookware Product 0021,Home & Kitchen,Cookware,Nova,Supplier D,774.04,1114.14,2025-01-13,Active
22,PRD00022,Beauty & Personal Care Grooming Product 0022,Beauty & Personal Care,Grooming,Vertex,Supplier B,403.4,802.5,2022-01-13,Active
23,PRD00023,Beauty & Personal Care Cosmetics Product 0023,Beauty & Personal Care,Cosmetics,Zenith,Supplier C,84.28,127.46,2023-06-07,Inactive
24,PRD00024,Home & Kitchen Furniture Product 0024,Home & Kitchen,Furniture,Zenith,Supplier B,2629.1,3579.61,2024-05-11,Active
25,PRD00025,Fashion Mens Apparel Product 0025,Fashion,Mens Apparel,Vertex,Supplier A,622.36,1030.14,2024-07-14,Active
26,PRD00026,Electronics Accessories Product 0026,Electronics,Accessories,Orion,Supplier E,61400.02,77861.57,2022-04-07,Active
27,PRD00027,Electronics Televisions Product 0027,Electronics,Televisions,Vertex,Supplier D,43306.28,54070.75,2021-12-31,Active
28,PRD00028,Beauty & Personal Care Skincare Product 0028,Beauty & Personal Care,Skincare,Urban,Supplier C,682.89,1256.4,2021-04-14,Active
29,PRD00029,Electronics Smartphones Product 0029,Electronics,Smartphones,XBrand,Supplier D,3382.18,3913.6,2024-02-09,Active
30,PRD00030,Fashion Womens Apparel Product 0030,Fashion,Womens Apparel,Orion,Supplier D,678.9,1034.09,2022-03-04,Active
31,PRD00031,Beauty & Personal Care Cosmetics Product 0031,Beauty & Personal Care,Cosmetics,Orion,Supplier F,188.48,369.86,2022-04-14,Active
32,PRD00032,Electronics Smartphones Product 0032,Electronics,Smartphones,XBrand,Supplier D,3724.54,4109.73,2023-10-12,Active
33,PRD00033,Fashion Womens Apparel Product 0033,Fashion,Womens Apparel,Orion,Supplier B,1737.32,2352.24,2023-05-20,Inactive
34,PRD00034,Home & Kitchen Home Decor Product 0034,Home & Kitchen,Home Decor,XBrand,Supplier B,302.23,386.13,2023-02-09,Active
35,PRD00035,Sports & Lifestyle Lifestyle Accessories Product 0035,Sports & Lifestyle,Lifestyle Accessories,Urban,Supplier E,1665.91,2335.33,2022-11-11,Active
36,PRD00036,Fashion Womens Apparel Product 0036,Fashion,Womens Apparel,Prime,Supplier A,4122.45,6846.73,2023-03-16,Active
37,PRD00037,Grocery & FMCG Beverages Product 0037,Grocery & FMCG,Beverages,Orion,Supplier C,250.84,282.91,2023-06-05,Active
38,PRD00038,Fashion Mens Apparel Product 0038,Fashion,Mens Apparel,Apex,Supplier B,614.42,1032.29,2022-07-15,Active
39,PRD00039,Electronics Wearables Product 0039,Electronics,Wearables,Apex,Supplier D,963.55,1049.39,2024-06-27,Active
40,PRD00040,Beauty & Personal Care Grooming Product 0040,Beauty & Personal Care,Grooming,Urban,Supplier A,2454.87,3892.21,2025-02-14,Active
41,PRD00041,Sports & Lifestyle Sports Equipment Product 0041,Sports & Lifestyle,Sports Equipment,XBrand,Supplier C,299.94,398.38,2021-11-27,Active
42,PRD00042,Beauty & Personal Care Grooming Product 0042,Beauty & Personal Care,Grooming,Apex,Supplier C,3918.93,7323.41,2022-08-10,Active
43,PRD00043,Grocery & FMCG Beverages Product 0043,Grocery & FMCG,Beverages,Urban,Supplier C,1435.9,1647.09,2021-07-20,Active
44,PRD00044,Grocery & FMCG Packaged Food Product 0044,Grocery & FMCG,Packaged Food,Vertex,Supplier C,417.34,507.42,2022-03-30,Active
45,PRD00045,Home & Kitchen Furniture Product 0045,Home & Kitchen,Furniture,Nova,Supplier E,51042.75,65155.05,2025-03-08,Active
46,PRD00046,Home & Kitchen Cookware Product 0046,Home & Kitchen,Cookware,Apex,Supplier C,20269.5,25772.8,2023-04-06,Active
47,PRD00047,Beauty & Personal Care Haircare Product 0047,Beauty & Personal Care,Haircare,Zenith,Supplier A,154.1,265.24,2021-04-21,Active
48,PRD00048,Fashion Mens Apparel Product 0048,Fashion,Mens Apparel,Nova,Supplier B,822.97,1459.97,2023-05-14,Active
49,PRD00049,Grocery & FMCG Staples Product 0049,Grocery & FMCG,Staples,Zenith,Supplier A,30.21,34.77,2023-06-27,Active
50,PRD00050,Sports & Lifestyle Sports Equipment Product 0050,Sports & Lifestyle,Sports Equipment,XBrand,Supplier D,16077.3,25965.59,2024-05-17,Active
51,PRD00051,Home & Kitchen Home Decor Product 0051,Home & Kitchen,Home Decor,Apex,Supplier F,385.45,508.74,2021-02-02,Active
52,PRD00052,Home & Kitchen Home Decor Product 0052,Home & Kitchen,Home Decor,Urban,Supplier E,6462.67,8150.64,2022-07-09,Active
53,PRD00053,Grocery & FMCG Snacks Product 0053,Grocery & FMCG,Snacks,Prime,Supplier E,6792.01,8197.71,2021-04-17,Inactive
54,PRD00054,Home & Kitchen Kitchen Appliances Product 0054,Home & Kitchen,Kitchen Appliances,Apex,Supplier D,432.91,541.54,2024-07-12,Active
55,PRD00055,Grocery & FMCG Staples Product 0055,Grocery & FMCG,Staples,Apex,Supplier A,28.19,34.01,2021-08-14,Active
56,PRD00056,Fashion Mens Apparel Product 0056,Fashion,Mens Apparel,Apex,Supplier A,425.47,638.14,2022-05-02,Active
57,PRD00057,Beauty & Personal Care Grooming Product 0057,Beauty & Personal Care,Grooming,Apex,Supplier D,471.66,785.77,2021-06-28,Active
58,PRD00058,Electronics Smartphones Product 0058,Electronics,Smartphones,Zenith,Supplier F,1033.18,1163.16,2024-05-30,Active
59,PRD00059,Beauty & Personal Care Haircare Product 0059,Beauty & Personal Care,Haircare,Urban,Supplier C,3811.52,7289.23,2024-10-25,Active
60,PRD00060,Fashion Footwear Product 0060,Fashion,Footwear,Urban,Supplier C,4753.37,6370.79,2022-09-29,Active
61,PRD00061,Beauty & Personal Care Skincare Product 0061,Beauty & Personal Care,Skincare,Zenith,Supplier B,265.55,447.79,2023-02-27,Active
62,PRD00062,Electronics Televisions Product 0062,Electronics,Televisions,Prime,Supplier A,2674.79,3374.46,2021-06-16,Active
63,PRD00063,Grocery & FMCG Packaged Food Product 0063,Grocery & FMCG,Packaged Food,Urban,Supplier A,938.12,1027.73,2022-10-25,Active
64,PRD00064,Grocery & FMCG Staples Product 0064,Grocery & FMCG,Staples,Urban,Supplier D,4682.24,5680.79,2021-10-27,Active
65,PRD00065,Home & Kitchen Storage Product 0065,Home & Kitchen,Storage,XBrand,Supplier D,231.34,317.13,2024-11-05,Active
66,PRD00066,Electronics Wearables Product 0066,Electronics,Wearables,Orion,Supplier C,3382.8,3910.74,2021-02-04,Active
67,PRD00067,Electronics Audio Product 0067,Electronics,Audio,XBrand,Supplier A,1717.08,2046.41,2022-02-11,Active
68,PRD00068,Beauty & Personal Care Haircare Product 0068,Beauty & Personal Care,Haircare,Orion,Supplier A,5141.87,8237.12,2025-03-06,Active
69,PRD00069,Beauty & Personal Care Haircare Product 0069,Beauty & Personal Care,Haircare,Nova,Supplier E,86.37,145.15,2021-11-10,Active
70,PRD00070,Fashion Accessories Product 0070,Fashion,Accessories,Prime,Supplier B,655.74,1132.9,2023-03-27,Active
71,PRD00071,Home & Kitchen Storage Product 0071,Home & Kitchen,Storage,Orion,Supplier B,2123.01,2696.86,2023-01-13,Inactive
72,PRD00072,Fashion Footwear Product 0072,Fashion,Footwear,XBrand,Supplier C,376.75,631.87,2022-12-28,Active
73,PRD00073,Beauty & Personal Care Haircare Product 0073,Beauty & Personal Care,Haircare,Prime,Supplier F,188.26,337.26,2023-04-06,Active
74,PRD00074,Fashion Accessories Product 0074,Fashion,Accessories,Prime,Supplier A,459.07,669.52,2024-01-30,Active
75,PRD00075,Sports & Lifestyle Sports Equipment Product 0075,Sports & Lifestyle,Sports Equipment,Apex,Supplier E,1436.36,2349.45,2022-07-23,Active
76,PRD00076,Electronics Wearables Product 0076,Electronics,Wearables,Vertex,Supplier A,93492.29,104925.15,2024-05-23,Active
77,PRD00077,Beauty & Personal Care Skincare Product 0077,Beauty & Personal Care,Skincare,Vertex,Supplier D,368.56,517.17,2022-07-30,Active
78,PRD00078,Fashion Kids Apparel Product 0078,Fashion,Kids Apparel,Vertex,Supplier C,1448.8,2202.22,2021-03-03,Active
79,PRD00079,Fashion Mens Apparel Product 0079,Fashion,Mens Apparel,Prime,Supplier F,5736.15,10170.49,2022-01-04,Active
80,PRD00080,Beauty & Personal Care Grooming Product 0080,Beauty & Personal Care,Grooming,Apex,Supplier B,364.55,581.36,2024-10-23,Active
81,PRD00081,Beauty & Personal Care Cosmetics Product 0081,Beauty & Personal Care,Cosmetics,Nova,Supplier A,3396.69,6194.69,2021-04-04,Active
82,PRD00082,Sports & Lifestyle Outdoor Product 0082,Sports & Lifestyle,Outdoor,Nova,Supplier F,149.33,202.9,2025-02-01,Active
83,PRD00083,Electronics Wearables Product 0083,Electronics,Wearables,Vertex,Supplier C,6453.63,7268.91,2023-09-11,Active
84,PRD00084,Electronics Wearables Product 0084,Electronics,Wearables,Nova,Supplier B,2077.62,2271.34,2023-11-16,Inactive
85,PRD00085,Beauty & Personal Care Haircare Product 0085,Beauty & Personal Care,Haircare,Apex,Supplier A,1319.7,1928.34,2024-12-29,Active
86,PRD00086,Beauty & Personal Care Grooming Product 0086,Beauty & Personal Care,Grooming,Vertex,Supplier E,87.26,126.05,2024-02-19,Active
87,PRD00087,Home & Kitchen Home Decor Product 0087,Home & Kitchen,Home Decor,Orion,Supplier C,16469.85,24390.85,2021-02-19,Active
88,PRD00088,Electronics Wearables Product 0088,Electronics,Wearables,Orion,Supplier A,8633.77,10018.88,2023-06-02,Active
89,PRD00089,Electronics Audio Product 0089,Electronics,Audio,Apex,Supplier B,119142.58,133579.76,2023-02-03,Active
90,PRD00090,Grocery & FMCG Snacks Product 0090,Grocery & FMCG,Snacks,Zenith,Supplier B,67.93,76.26,2021-02-05,Active
91,PRD00091,Home & Kitchen Cookware Product 0091,Home & Kitchen,Cookware,Nova,Supplier E,423.64,560.73,2024-12-04,Active
92,PRD00092,Home & Kitchen Home Decor Product 0092,Home & Kitchen,Home Decor,Vertex,Supplier C,33529.31,46868.51,2024-08-05,Active
93,PRD00093,Home & Kitchen Kitchen Appliances Product 0093,Home & Kitchen,Kitchen Appliances,Orion,Supplier C,1555.82,2353.2,2024-11-03,Active
94,PRD00094,Home & Kitchen Home Decor Product 0094,Home & Kitchen,Home Decor,Apex,Supplier F,208.7,266.11,2021-04-10,Active
95,PRD00095,Electronics Laptops Product 0095,Electronics,Laptops,Urban,Supplier A,12888.23,15456.8,2024-09-09,Active
96,PRD00096,Fashion Footwear Product 0096,Fashion,Footwear,Orion,Supplier F,233.68,349.09,2021-11-25,Active
97,PRD00097,Electronics Wearables Product 0097,Electronics,Wearables,Urban,Supplier B,19653.58,23901.61,2022-12-07,Active
98,PRD00098,Grocery & FMCG Snacks Product 0098,Grocery & FMCG,Snacks,Apex,Supplier B,936.99,1055.24,2021-08-09,Active
99,PRD00099,Home & Kitchen Cookware Product 0099,Home & Kitchen,Cookware,Apex,Supplier E,260.59,348.66,2022-07-21,Active
100,PRD00100,Fashion Kids Apparel Product 0100,Fashion,Kids Apparel,XBrand,Supplier E,277.44,495.0,2023-09-23,Active
101,PRD00101,Grocery & FMCG Snacks Product 0101,Grocery & FMCG,Snacks,Orion,Supplier C,340.45,383.27,2023-10-19,Active
102,PRD00102,Beauty & Personal Care Skincare Product 0102,Beauty & Personal Care,Skincare,XBrand,Supplier F,2127.28,3400.85,2021-04-20,Inactive
103,PRD00103,Fashion Womens Apparel Product 0103,Fashion,Womens Apparel,Prime,Supplier B,591.49,1006.61,2021-05-29,Active
104,PRD00104,Home & Kitchen Home Decor Product 0104,Home & Kitchen,Home Decor,Orion,Supplier A,25449.21,36068.05,2022-02-10,Active
105,PRD00105,Home & Kitchen Home Decor Product 0105,Home & Kitchen,Home Decor,Vertex,Supplier D,190.87,263.73,2022-11-30,Active
106,PRD00106,Beauty & Personal Care Skincare Product 0106,Beauty & Personal Care,Skincare,Prime,Supplier A,2401.01,3353.95,2023-10-14,Active
107,PRD00107,Sports & Lifestyle Fitness Product 0107,Sports & Lifestyle,Fitness,Prime,Supplier E,417.22,669.16,2024-12-04,Active
108,PRD00108,Beauty & Personal Care Haircare Product 0108,Beauty & Personal Care,Haircare,Nova,Supplier A,61.03,108.63,2024-02-27,Active
109,PRD00109,Fashion Mens Apparel Product 0109,Fashion,Mens Apparel,Urban,Supplier B,1262.56,1911.11,2025-02-16,Inactive
110,PRD00110,Grocery & FMCG Snacks Product 0110,Grocery & FMCG,Snacks,Nova,Supplier F,17.52,20.9,2021-04-18,Active
111,PRD00111,Fashion Womens Apparel Product 0111,Fashion,Womens Apparel,Vertex,Supplier C,785.16,1223.28,2022-01-24,Inactive
112,PRD00112,Electronics Audio Product 0112,Electronics,Audio,Apex,Supplier F,22756.07,27696.19,2022-03-01,Active
113,PRD00113,Fashion Womens Apparel Product 0113,Fashion,Womens Apparel,XBrand,Supplier D,8127.26,12625.22,2022-03-23,Active
114,PRD00114,Sports & Lifestyle Outdoor Product 0114,Sports & Lifestyle,Outdoor,Vertex,Supplier C,1009.93,1657.64,2023-07-07,Active
115,PRD00115,Electronics Accessories Product 0115,Electronics,Accessories,Apex,Supplier D,20231.85,23036.31,2023-12-28,Active
116,PRD00116,Beauty & Personal Care Cosmetics Product 0116,Beauty & Personal Care,Cosmetics,Vertex,Supplier D,95.72,177.47,2023-12-26,Active
117,PRD00117,Home & Kitchen Cookware Product 0117,Home & Kitchen,Cookware,Apex,Supplier B,1235.72,1746.06,2022-10-18,Active
118,PRD00118,Fashion Kids Apparel Product 0118,Fashion,Kids Apparel,Orion,Supplier B,1341.67,1889.11,2025-03-08,Inactive
119,PRD00119,Electronics Laptops Product 0119,Electronics,Laptops,XBrand,Supplier E,16992.87,18642.67,2025-03-08,Active
120,PRD00120,Fashion Kids Apparel Product 0120,Fashion,Kids Apparel,Apex,Supplier E,966.42,1508.44,2021-11-17,Active
121,PRD00121,Grocery & FMCG Staples Product 0121,Grocery & FMCG,Staples,Prime,Supplier D,254.0,300.54,2022-12-20,Active
122,PRD00122,Home & Kitchen Storage Product 0122,Home & Kitchen,Storage,Vertex,Supplier F,19638.8,28507.94,2022-12-29,Active
123,PRD00123,Beauty & Personal Care Cosmetics Product 0123,Beauty & Personal Care,Cosmetics,XBrand,Supplier E,83.07,118.42,2022-08-03,Active
124,PRD00124,Grocery & FMCG Household Care Product 0124,Grocery & FMCG,Household Care,Apex,Supplier B,464.06,561.46,2022-03-23,Active
125,PRD00125,Sports & Lifestyle Lifestyle Accessories Product 0125,Sports & Lifestyle,Lifestyle Accessories,Prime,Supplier E,10526.89,16669.83,2021-07-29,Active
126,PRD00126,Home & Kitchen Furniture Product 0126,Home & Kitchen,Furniture,Prime,Supplier D,915.79,1225.97,2023-04-29,Active
127,PRD00127,Fashion Mens Apparel Product 0127,Fashion,Mens Apparel,Orion,Supplier C,1356.79,1888.29,2022-01-05,Inactive
128,PRD00128,Electronics Audio Product 0128,Electronics,Audio,Urban,Supplier F,740.28,940.12,2025-01-21,Active
129,PRD00129,Sports & Lifestyle Outdoor Product 0129,Sports & Lifestyle,Outdoor,Prime,Supplier F,536.4,713.29,2022-07-31,Active
130,PRD00130,Sports & Lifestyle Fitness Product 0130,Sports & Lifestyle,Fitness,Nova,Supplier A,190.23,309.67,2022-11-20,Active
131,PRD00131,Fashion Footwear Product 0131,Fashion,Footwear,XBrand,Supplier E,1784.29,2893.8,2023-03-01,Active
132,PRD00132,Grocery & FMCG Household Care Product 0132,Grocery & FMCG,Household Care,XBrand,Supplier F,5111.01,5772.3,2023-09-19,Active
133,PRD00133,Fashion Mens Apparel Product 0133,Fashion,Mens Apparel,Zenith,Supplier B,2529.53,3407.96,2021-06-12,Active
134,PRD00134,Beauty & Personal Care Cosmetics Product 0134,Beauty & Personal Care,Cosmetics,XBrand,Supplier C,127.1,234.42,2023-09-04,Active
135,PRD00135,Electronics Accessories Product 0135,Electronics,Accessories,Apex,Supplier B,38530.27,44241.39,2024-09-17,Active
136,PRD00136,Grocery & FMCG Staples Product 0136,Grocery & FMCG,Staples,Vertex,Supplier E,180.25,207.98,2021-12-16,Active
137,PRD00137,Electronics Accessories Product 0137,Electronics,Accessories,Apex,Supplier D,708.99,800.01,2022-11-01,Active
138,PRD00138,Grocery & FMCG Household Care Product 0138,Grocery & FMCG,Household Care,Nova,Supplier A,65.29,72.95,2025-01-31,Inactive
139,PRD00139,Grocery & FMCG Packaged Food Product 0139,Grocery & FMCG,Packaged Food,Zenith,Supplier A,2670.09,2993.27,2022-03-02,Active
140,PRD00140,Beauty & Personal Care Skincare Product 0140,Beauty & Personal Care,Skincare,Vertex,Supplier C,149.5,239.61,2021-11-23,Active
141,PRD00141,Electronics Accessories Product 0141,Electronics,Accessories,Orion,Supplier F,65790.99,74238.51,2024-02-04,Active
142,PRD00142,Home & Kitchen Furniture Product 0142,Home & Kitchen,Furniture,Prime,Supplier F,242.02,318.7,2021-09-12,Active
143,PRD00143,Home & Kitchen Cookware Product 0143,Home & Kitchen,Cookware,Zenith,Supplier F,12796.2,17616.33,2021-12-24,Active
144,PRD00144,Home & Kitchen Home Decor Product 0144,Home & Kitchen,Home Decor,Apex,Supplier A,17516.83,26667.14,2022-03-20,Active
145,PRD00145,Electronics Audio Product 0145,Electronics,Audio,Vertex,Supplier D,42328.2,50664.08,2021-04-23,Active
146,PRD00146,Sports & Lifestyle Outdoor Product 0146,Sports & Lifestyle,Outdoor,Prime,Supplier F,2156.94,2723.46,2023-11-20,Active
147,PRD00147,Fashion Womens Apparel Product 0147,Fashion,Womens Apparel,Vertex,Supplier B,9498.24,14106.91,2022-06-08,Inactive
148,PRD00148,Home & Kitchen Kitchen Appliances Product 0148,Home & Kitchen,Kitchen Appliances,Prime,Supplier F,350.35,495.78,2022-11-20,Inactive
149,PRD00149,Fashion Accessories Product 0149,Fashion,Accessories,Vertex,Supplier D,575.94,910.08,2023-09-18,Inactive
150,PRD00150,Fashion Accessories Product 0150,Fashion,Accessories,Apex,Supplier C,1965.75,2974.56,2021-02-15,Active
151,PRD00151,Beauty & Personal Care Cosmetics Product 0151,Beauty & Personal Care,Cosmetics,Zenith,Supplier C,3209.4,4693.77,2024-04-09,Active
152,PRD00152,Fashion Womens Apparel Product 0152,Fashion,Womens Apparel,Apex,Supplier A,1112.71,1731.95,2024-02-28,Active
153,PRD00153,Sports & Lifestyle Sports Equipment Product 0153,Sports & Lifestyle,Sports Equipment,Nova,Supplier D,4321.83,6719.21,2023-01-27,Active
154,PRD00154,Fashion Footwear Product 0154,Fashion,Footwear,Orion,Supplier B,870.87,1402.84,2024-10-08,Active
155,PRD00155,Sports & Lifestyle Fitness Product 0155,Sports & Lifestyle,Fitness,Orion,Supplier D,271.35,442.32,2024-05-11,Inactive
156,PRD00156,Grocery & FMCG Beverages Product 0156,Grocery & FMCG,Beverages,Urban,Supplier B,183.15,216.22,2024-06-03,Active
157,PRD00157,Home & Kitchen Storage Product 0157,Home & Kitchen,Storage,XBrand,Supplier B,176.51,224.82,2024-01-09,Active
158,PRD00158,Sports & Lifestyle Sports Equipment Product 0158,Sports & Lifestyle,Sports Equipment,Apex,Supplier D,1644.87,2634.54,2024-08-26,Active
159,PRD00159,Electronics Smartphones Product 0159,Electronics,Smartphones,Apex,Supplier E,9972.68,12626.55,2023-11-25,Active
160,PRD00160,Grocery & FMCG Packaged Food Product 0160,Grocery & FMCG,Packaged Food,Prime,Supplier D,352.19,404.37,2022-07-18,Active
161,PRD00161,Fashion Kids Apparel Product 0161,Fashion,Kids Apparel,Urban,Supplier B,281.68,477.85,2021-06-10,Active
162,PRD00162,Grocery & FMCG Beverages Product 0162,Grocery & FMCG,Beverages,Orion,Supplier F,77.03,92.81,2023-04-20,Active
163,PRD00163,Grocery & FMCG Household Care Product 0163,Grocery & FMCG,Household Care,Apex,Supplier C,4743.77,5745.36,2024-12-29,Active
164,PRD00164,Grocery & FMCG Beverages Product 0164,Grocery & FMCG,Beverages,Vertex,Supplier C,432.22,507.13,2022-06-22,Active
165,PRD00165,Grocery & FMCG Staples Product 0165,Grocery & FMCG,Staples,Orion,Supplier A,2289.71,2524.77,2021-08-13,Active
166,PRD00166,Home & Kitchen Furniture Product 0166,Home & Kitchen,Furniture,Urban,Supplier C,5951.18,7309.51,2025-01-09,Inactive
167,PRD00167,Electronics Televisions Product 0167,Electronics,Televisions,XBrand,Supplier E,9709.96,10809.0,2024-09-02,Active
168,PRD00168,Fashion Accessories Product 0168,Fashion,Accessories,Vertex,Supplier B,414.29,611.95,2024-12-08,Active
169,PRD00169,Electronics Accessories Product 0169,Electronics,Accessories,Prime,Supplier D,6400.73,7686.2,2021-04-05,Active
170,PRD00170,Beauty & Personal Care Cosmetics Product 0170,Beauty & Personal Care,Cosmetics,Nova,Supplier D,87.11,139.58,2024-06-02,Active
171,PRD00171,Home & Kitchen Cookware Product 0171,Home & Kitchen,Cookware,Vertex,Supplier E,429.78,594.91,2023-08-07,Active
172,PRD00172,Sports & Lifestyle Lifestyle Accessories Product 0172,Sports & Lifestyle,Lifestyle Accessories,Zenith,Supplier C,4026.53,5846.93,2022-07-07,Active
173,PRD00173,Beauty & Personal Care Grooming Product 0173,Beauty & Personal Care,Grooming,Orion,Supplier B,1990.61,2988.47,2022-10-07,Active
174,PRD00174,Grocery & FMCG Household Care Product 0174,Grocery & FMCG,Household Care,Zenith,Supplier C,2036.54,2322.9,2021-03-07,Active
175,PRD00175,Electronics Televisions Product 0175,Electronics,Televisions,XBrand,Supplier A,8357.1,10077.71,2024-11-21,Active
176,PRD00176,Grocery & FMCG Staples Product 0176,Grocery & FMCG,Staples,Vertex,Supplier C,19.16,22.42,2024-05-18,Active
177,PRD00177,Sports & Lifestyle Lifestyle Accessories Product 0177,Sports & Lifestyle,Lifestyle Accessories,Urban,Supplier A,3905.32,5291.55,2025-02-06,Active
178,PRD00178,Fashion Kids Apparel Product 0178,Fashion,Kids Apparel,Urban,Supplier D,306.17,418.37,2022-10-27,Inactive
179,PRD00179,Beauty & Personal Care Skincare Product 0179,Beauty & Personal Care,Skincare,XBrand,Supplier B,4053.22,7016.37,2022-11-15,Active
180,PRD00180,Grocery & FMCG Snacks Product 0180,Grocery & FMCG,Snacks,Orion,Supplier F,38.97,44.06,2023-06-29,Active
181,PRD00181,Electronics Smartphones Product 0181,Electronics,Smartphones,Urban,Supplier A,14266.24,17765.74,2023-04-17,Active
182,PRD00182,Fashion Accessories Product 0182,Fashion,Accessories,Vertex,Supplier C,249.27,354.74,2022-07-25,Active
183,PRD00183,Fashion Footwear Product 0183,Fashion,Footwear,Nova,Supplier C,7288.14,9741.33,2022-11-27,Active
184,PRD00184,Electronics Televisions Product 0184,Electronics,Televisions,Vertex,Supplier D,1801.83,2293.17,2025-02-22,Active
185,PRD00185,Home & Kitchen Furniture Product 0185,Home & Kitchen,Furniture,Nova,Supplier E,6107.84,7875.84,2021-06-29,Active
186,PRD00186,Electronics Televisions Product 0186,Electronics,Televisions,Urban,Supplier F,1039.38,1134.63,2023-04-14,Active
187,PRD00187,Electronics Accessories Product 0187,Electronics,Accessories,Vertex,Supplier E,2292.04,2877.3,2025-03-28,Active
188,PRD00188,Electronics Wearables Product 0188,Electronics,Wearables,Urban,Supplier C,5774.44,7049.28,2025-01-22,Active
189,PRD00189,Sports & Lifestyle Lifestyle Accessories Product 0189,Sports & Lifestyle,Lifestyle Accessories,Orion,Supplier E,18630.09,25933.05,2023-12-28,Active
190,PRD00190,Fashion Kids Apparel Product 0190,Fashion,Kids Apparel,Nova,Supplier F,408.83,632.3,2024-09-14,Active
191,PRD00191,Sports & Lifestyle Fitness Product 0191,Sports & Lifestyle,Fitness,Orion,Supplier F,15701.59,24567.32,2021-07-21,Active
192,PRD00192,Fashion Kids Apparel Product 0192,Fashion,Kids Apparel,Urban,Supplier B,236.59,386.91,2025-02-07,Active
193,PRD00193,Home & Kitchen Home Decor Product 0193,Home & Kitchen,Home Decor,Apex,Supplier E,4087.98,6140.58,2025-03-22,Active
194,PRD00194,Fashion Mens Apparel Product 0194,Fashion,Mens Apparel,Prime,Supplier B,310.66,482.99,2023-11-05,Active
195,PRD00195,Fashion Kids Apparel Product 0195,Fashion,Kids Apparel,Vertex,Supplier C,6250.3,9356.8,2023-12-02,Active
196,PRD00196,Electronics Televisions Product 0196,Electronics,Televisions,Apex,Supplier C,9067.55,9962.85,2022-06-27,Active
197,PRD00197,Beauty & Personal Care Haircare Product 0197,Beauty & Personal Care,Haircare,Orion,Supplier C,239.05,357.39,2023-09-09,Active
198,PRD00198,Home & Kitchen Storage Product 0198,Home & Kitchen,Storage,Zenith,Supplier D,44438.88,57567.3,2023-02-13,Active
