TargetKey,TargetMonth,StoreKey,Category,RevenueTarget,ProfitTarget,UnitsTarget
102,2025-04-01,17,Sports & Lifestyle,27876.93,4647.75,20
103,2025-04-01,18,Electronics,25754.18,4100.23,20
104,2025-04-01,18,Home & Kitchen,21210.64,5883.6,20
105,2025-04-01,18,Fashion,23730.61,6217.69,20
106,2025-04-01,18,Beauty & Personal Care,20736.07,3725.76,20
107,2025-04-01,18,Grocery & FMCG,23268.54,5454.32,20
108,2025-04-01,18,Sports & Lifestyle,13406.18,2208.9,20
109,2025-04-01,19,Electronics,31289.0,8337.21,23
110,2025-04-01,19,Home & Kitchen,35568.85,8422.28,29
111,2025-04-01,19,Fashion,36389.19,8268.1,20
112,2025-04-01,19,Beauty & Personal Care,25343.51,3875.26,20
113,2025-04-01,19,Grocery & FMCG,31814.06,4563.93,38
114,2025-04-01,19,Sports & Lifestyle,15333.51,3609.72,20
115,2025-04-01,20,Electronics,38395.65,5602.52,37
116,2025-04-01,20,Home & Kitchen,33208.0,9549.09,20
117,2025-04-01,20,Fashion,42139.34,9592.24,20
118,2025-04-01,20,Beauty & Personal Care,34208.03,6871.58,20
119,2025-04-01,20,Grocery & FMCG,28234.48,5163.88,20
120,2025-04-01,20,Sports & Lifestyle,22674.64,3669.86,20
121,2025-04-01,21,Electronics,47494.86,9558.59,20
122,2025-04-01,21,Home & Kitchen,57204.44,8944.82,30
123,2025-04-01,21,Fashion,60166.73,14776.16,29
124,2025-04-01,21,Beauty & Personal Care,57349.31,14010.71,27
125,2025-04-01,21,Grocery & FMCG,55212.76,10252.13,35
126,2025-04-01,21,Sports & Lifestyle,31456.03,8996.94,20
127,2025-04-01,22,Electronics,72706.83,14385.22,29
128,2025-04-01,22,Home & Kitchen,59585.57,10107.0,38
129,2025-04-01,22,Fashion,55403.81,11011.28,51
130,2025-04-01,22,Beauty & Personal Care,50445.24,7396.56,56
131,2025-04-01,22,Grocery & FMCG,52870.56,11350.42,37
132,2025-04-01,22,Sports & Lifestyle,26792.66,4548.29,21
133,2025-04-01,23,Electronics,47118.55,10064.11,21
134,2025-04-01,23,Home & Kitchen,49833.74,12115.38,45
135,2025-04-01,23,Fashion,46558.9,9971.39,42
136,2025-04-01,23,Beauty & Personal Care,42539.77,10658.65,24
137,2025-04-01,23,Grocery & FMCG,43080.79,8088.88,39
138,2025-04-01,23,Sports & Lifestyle,30305.83,4504.96,32
139,2025-04-01,24,Electronics,55260.9,13701.31,27
140,2025-04-01,24,Home & Kitchen,37995.95,8300.9,40
141,2025-04-01,24,Fashion,50551.81,8969.12,59
142,2025-04-01,24,Beauty & Personal Care,30393.62,8240.68,20
143,2025-04-01,24,Grocery & FMCG,41827.77,7593.88,20
144,2025-04-01,24,Sports & Lifestyle,27283.79,7853.22,20
145,2025-04-01,25,Electronics,56595.48,14541.79,52
146,2025-04-01,25,Home & Kitchen,43323.15,9426.06,20
147,2025-04-01,25,Fashion,57075.82,10845.24,51
148,2025-04-01,25,Beauty & Personal Care,45887.83,12609.84,20
149,2025-04-01,25,Grocery & FMCG,47764.41,9624.21,26
150,2025-04-01,25,Sports & Lifestyle,23933.73,3508.91,20
151,2025-04-01,26,Electronics,38722.94,10961.46,39
152,2025-04-01,26,Home & Kitchen,37227.33,8340.35,27
153,2025-04-01,26,Fashion,30337.8,4488.98,20
154,2025-04-01,26,Beauty & Personal Care,25172.73,6426.71,20
155,2025-04-01,26,Grocery & FMCG,38366.86,11154.6,30
156,2025-04-01,26,Sports & Lifestyle,17920.7,4619.95,20
157,2025-04-01,27,Electronics,39888.79,10664.2,23
158,2025-04-01,27,Home & Kitchen,32948.95,6994.87,20
159,2025-04-01,27,Fashion,43840.63,12663.19,33
160,2025-04-01,27,Beauty & Personal Care,41449.57,7073.02,20
161,2025-04-01,27,Grocery & FMCG,40729.88,5941.6,20
162,2025-04-01,27,Sports & Lifestyle,24151.17,5367.54,20
163,2025-04-01,28,Electronics,57988.73,13332.86,37
164,2025-04-01,28,Home & Kitchen,53602.94,9562.87,35
165,2025-04-01,28,Fashion,67651.07,17201.96,36
166,2025-04-01,28,Beauty & Personal Care,46512.59,7368.44,26
167,2025-04-01,28,Grocery & FMCG,51794.21,8048.32,30
168,2025-04-01,28,Sports & Lifestyle,29238.62,5935.82,20
169,2025-04-01,29,Electronics,59227.03,15631.52,26
170,2025-04-01,29,Home & Kitchen,53536.04,11400.33,31
171,2025-04-01,29,Fashion,66376.85,12504.83,51
172,2025-04-01,29,Beauty & Personal Care,41146.76,10380.57,49
173,2025-04-01,29,Grocery & FMCG,48339.24,11152.69,23
174,2025-04-01,29,Sports & Lifestyle,36890.54,10229.93,28
175,2025-04-01,30,Electronics,40540.84,9148.68,22
176,2025-04-01,30,Home & Kitchen,49655.09,10490.9,24
177,2025-04-01,30,Fashion,52811.14,10873.33,30
178,2025-04-01,30,Beauty & Personal Care,35482.46,5619.05,20
179,2025-04-01,30,Grocery & FMCG,45188.29,8407.51,21
180,2025-04-01,30,Sports & Lifestyle,26242.01,5607.08,24
181,2025-04-01,31,Electronics,30701.78,7723.35,20
182,2025-04-01,31,Home & Kitchen,27041.58,5162.53,20
183,2025-04-01,31,Fashion,31534.8,7038.8,20
184,2025-04-01,31,Beauty & Personal Care,20806.52,5828.56,20
185,2025-04-01,31,Grocery & FMCG,24828.58,6225.39,28
186,2025-04-01,31,Sports & Lifestyle,16931.7,2562.46,20
187,2025-04-01,32,Electronics,34656.08,9667.91,33
188,2025-04-01,32,Home & Kitchen,29951.84,7663.59,35
189,2025-04-01,32,Fashion,46503.62,10626.83,32
190,2025-04-01,32,Beauty & Personal Care,25883.83,7385.11,20
191,2025-04-01,32,Grocery & FMCG,35182.35,8758.86,20
192,2025-04-01,32,Sports & Lifestyle,16838.01,2815.75,20
193,2025-04-01,33,Electronics,47257.71,14125.71,22
194,2025-04-01,33,Home & Kitchen,49302.25,14643.57,35
195,2025-04-01,33,Fashion,46592.79,11461.8,22
196,2025-04-01,33,Beauty & Personal Care,46292.91,7004.49,25
197,2025-04-01,33,Grocery & FMCG,50728.4,13008.22,26
198,2025-04-01,33,Sports & Lifestyle,26830.22,7997.3,20
199,2025-04-01,34,Electronics,34690.38,10089.55,22
200,2025-04-01,34,Home & Kitchen,27120.54,5503.42,20
201,2025-04-01,34,Fashion,32439.31,7049.24,27
202,2025-04-01,34,Beauty & Personal Care,17417.57,3098.53,20
203,2025-04-01,34,Grocery & FMCG,26962.61,6965.42,20
204,2025-04-01,34,Sports & Lifestyle,15411.5,2388.85,20
205,2025-04-01,35,Electronics,51397.77,15214.2,24
206,2025-04-01,35,Home & Kitchen,41509.7,12194.7,26
207,2025-04-01,35,Fashion,58773.77,17462.57,24
208,2025-04-01,35,Beauty & Personal Care,47972.9,12013.28,25
209,2025-04-01,35,Grocery & FMCG,46346.65,13117.39,56
210,2025-04-01,35,Sports & Lifestyle,23708.26,3586.87,20
211,2025-04-01,36,Electronics,27514.35,8244.54,20
212,2025-04-01,36,Home & Kitchen,22494.31,4157.32,20
213,2025-04-01,36,Fashion,31242.04,6433.51,20
214,2025-04-01,36,Beauty & Personal Care,23320.12,5271.23,20
215,2025-04-01,36,Grocery & FMCG,23688.05,4470.71,23
216,2025-04-01,36,Sports & Lifestyle,15263.2,3907.37,20
217,2025-04-01,37,Electronics,44555.61,6363.21,35
218,2025-04-01,37,Home & Kitchen,37772.85,7138.02,26
219,2025-04-01,37,Fashion,52777.85,11350.49,25
220,2025-04-01,37,Beauty & Personal Care,39543.15,9802.17,20
221,2025-04-01,37,Grocery & FMCG,44369.33,13291.26,53
222,2025-04-01,37,Sports & Lifestyle,24188.22,6140.65,20
223,2025-04-01,38,Electronics,54931.71,13365.52,28
224,2025-04-01,38,Home & Kitchen,52055.54,9666.38,21
225,2025-04-01,38,Fashion,67005.83,16844.04,28
226,2025-04-01,38,Beauty & Personal Care,46595.02,6705.0,33
227,2025-04-01,38,Grocery & FMCG,53945.44,9589.6,36
228,2025-04-01,38,Sports & Lifestyle,30335.67,6791.97,20
229,2025-04-01,39,Electronics,62384.02,18129.23,37
230,2025-04-01,39,Home & Kitchen,39752.15,9540.96,21
231,2025-04-01,39,Fashion,57655.79,14938.46,32
232,2025-04-01,39,Beauty & Personal Care,51667.55,11810.17,36
233,2025-04-01,39,Grocery & FMCG,50641.86,9651.72,28
234,2025-04-01,39,Sports & Lifestyle,27668.96,4947.35,20
235,2025-04-01,40,Electronics,41647.07,6765.01,20
236,2025-04-01,40,Home & Kitchen,43782.68,6696.32,20
237,2025-04-01,40,Fashion,47621.43,13274.08,57
238,2025-04-01,40,Beauty & Personal Care,32710.45,5508.16,25
239,2025-04-01,40,Grocery & FMCG,34556.62,7403.22,20
240,2025-04-01,40,Sports & Lifestyle,21819.1,4117.85,20
241,2025-04-01,41,Electronics,31689.77,8556.41,20
242,2025-04-01,41,Home & Kitchen,29990.74,8796.05,20
243,2025-04-01,41,Fashion,36472.08,5113.23,20
244,2025-04-01,41,Beauty & Personal Care,23768.39,6419.56,20
245,2025-04-01,41,Grocery & FMCG,25918.87,3952.08,20
246,2025-04-01,41,Sports & Lifestyle,14575.36,2478.85,20
247,2025-04-01,42,Electronics,59021.33,12764.52,36
248,2025-04-01,42,Home & Kitchen,50657.08,10250.1,44
249,2025-04-01,42,Fashion,48352.62,10955.92,21
250,2025-04-01,42,Beauty & Personal Care,42688.84,9421.82,43
251,2025-04-01,42,Grocery & FMCG,39698.47,5774.02,23
252,2025-04-01,42,Sports & Lifestyle,29068.22,8685.79,25
253,2025-04-01,43,Electronics,46593.96,9468.15,21
254,2025-04-01,43,Home & Kitchen,46898.11,9695.66,20
255,2025-04-01,43,Fashion,59626.01,17851.62,70
256,2025-04-01,43,Beauty & Personal Care,46817.47,9766.57,22
257,2025-04-01,43,Grocery & FMCG,47179.37,12917.17,21
258,2025-04-01,43,Sports & Lifestyle,30790.29,9085.59,20
259,2025-04-01,44,Electronics,55563.04,8768.8,27
260,2025-04-01,44,Home & Kitchen,53530.41,11503.09,28
261,2025-04-01,44,Fashion,62092.23,16465.07,41
262,2025-04-01,44,Beauty & Personal Care,41635.97,10672.04,37
263,2025-04-01,44,Grocery & FMCG,59865.5,16395.36,28
264,2025-04-01,44,Sports & Lifestyle,31958.99,7472.78,20
265,2025-04-01,45,Electronics,33159.35,7608.22,20
266,2025-04-01,45,Home & Kitchen,35557.24,8293.36,20
267,2025-04-01,45,Fashion,36627.3,10443.62,24
268,2025-04-01,45,Beauty & Personal Care,33760.93,6282.32,27
269,2025-04-01,45,Grocery & FMCG,28758.18,7166.49,20
270,2025-04-01,45,Sports & Lifestyle,22564.94,5009.55,20
271,2025-04-01,46,Electronics,50119.12,14925.02,21
272,2025-04-01,46,Home & Kitchen,61464.88,15795.19,35
273,2025-04-01,46,Fashion,73284.9,12968.16,37
274,2025-04-01,46,Beauty & Personal Care,50775.53,10504.61,56
275,2025-04-01,46,Grocery & FMCG,55451.84,13521.03,31
276,2025-04-01,46,Sports & Lifestyle,27135.97,6678.63,20
277,2025-04-01,47,Electronics,55756.03,13277.71,33
278,2025-04-01,47,Home & Kitchen,61358.53,10296.61,27
279,2025-04-01,47,Fashion,62115.65,14084.94,42
280,2025-04-01,47,Beauty & Personal Care,45294.67,12142.13,21
281,2025-04-01,47,Grocery & FMCG,48179.77,10237.41,33
282,2025-04-01,47,Sports & Lifestyle,30967.99,8489.08,20
283,2025-04-01,48,Electronics,59085.7,8704.14,40
284,2025-04-01,48,Home & Kitchen,55937.15,9759.73,41
285,2025-04-01,48,Fashion,49257.28,7679.36,28
286,2025-04-01,48,Beauty & Personal Care,48224.54,9543.97,20
287,2025-04-01,48,Grocery & FMCG,56471.22,8187.17,41
288,2025-04-01,48,Sports & Lifestyle,31921.86,4637.26,20
289,2025-04-01,49,Electronics,51106.17,12294.33,26
290,2025-04-01,49,Home & Kitchen,45089.46,9933.21,20
291,2025-04-01,49,Fashion,65868.71,13922.77,26
292,2025-04-01,49,Beauty & Personal Care,55768.18,14479.45,39
293,2025-04-01,49,Grocery & FMCG,50779.24,10010.37,50
294,2025-04-01,49,Sports & Lifestyle,26143.93,4485.33,20
295,2025-04-01,50,Electronics,30558.26,5161.09,20
296,2025-04-01,50,Home & Kitchen,32763.34,7229.08,20
297,2025-04-01,50,Fashion,35512.37,7898.93,21
298,2025-04-01,50,Beauty & Personal Care,28894.61,8532.86,20
299,2025-04-01,50,Grocery & FMCG,26927.6,6443.9,24
300,2025-04-01,50,Sports & Lifestyle,15638.92,3628.13,20
301,2025-04-01,51,Electronics,67371.46,11062.22,39
302,2025-04-01,51,Home & Kitchen,57048.56,12163.2,47
303,2025-04-01,51,Fashion,60520.33,14213.12,52
304,2025-04-01,51,Beauty & Personal Care,44023.48,7130.21,28
305,2025-04-01,51,Grocery & FMCG,50089.1,12883.25,44
306,2025-04-01,51,Sports & Lifestyle,26914.51,5898.79,20
307,2025-04-01,52,Electronics,55280.57,11062.26,57
308,2025-04-01,52,Home & Kitchen,49968.0,10617.24,31
309,2025-04-01,52,Fashion,54527.66,10449.97,65
310,2025-04-01,52,Beauty & Personal Care,47208.11,9186.63,26
311,2025-04-01,52,Grocery & FMCG,52791.49,9411.31,27
312,2025-04-01,52,Sports & Lifestyle,30049.0,8180.2,33
313,2025-04-01,53,Electronics,53118.25,10874.87,29
314,2025-04-01,53,Home & Kitchen,37805.48,10318.61,28
315,2025-04-01,53,Fashion,53863.3,9960.62,28
316,2025-04-01,53,Beauty & Personal Care,48841.06,13802.87,20
317,2025-04-01,53,Grocery & FMCG,42263.4,5989.75,20
318,2025-04-01,53,Sports & Lifestyle,29479.0,8338.3,24
319,2025-04-01,54,Electronics,26243.26,4517.57,30
320,2025-04-01,54,Home & Kitchen,22779.17,6377.9,20
321,2025-04-01,54,Fashion,24675.1,6556.77,21
322,2025-04-01,54,Beauty & Personal Care,20432.26,4253.49,20
323,2025-04-01,54,Grocery & FMCG,16780.04,3561.82,20
324,2025-04-01,54,Sports & Lifestyle,13127.6,3558.07,20
325,2025-04-01,55,Electronics,59344.22,11785.22,57
326,2025-04-01,55,Home & Kitchen,59321.23,8869.27,61
327,2025-04-01,55,Fashion,54919.54,12116.5,23
328,2025-04-01,55,Beauty & Personal Care,51520.67,10924.9,43
329,2025-04-01,55,Grocery & FMCG,56287.79,11391.06,25
330,2025-04-01,55,Sports & Lifestyle,27087.16,5002.33,33
331,2025-04-01,56,Electronics,36444.97,9761.59,35
332,2025-04-01,56,Home & Kitchen,31549.98,6605.24,20
333,2025-04-01,56,Fashion,32059.12,5545.63,20
334,2025-04-01,56,Beauty & Personal Care,31095.3,4486.78,20
335,2025-04-01,56,Grocery & FMCG,29061.81,4382.34,20
336,2025-04-01,56,Sports & Lifestyle,16739.74,4724.55,20
337,2025-04-01,57,Electronics,42999.01,11251.83,20
338,2025-04-01,57,Home & Kitchen,44352.37,11743.19,30
339,2025-04-01,57,Fashion,48972.04,13441.4,20
340,2025-04-01,57,Beauty & Personal Care,44575.17,8618.17,36
341,2025-04-01,57,Grocery & FMCG,40728.74,10192.53,20
342,2025-04-01,57,Sports & Lifestyle,27484.22,6163.1,23
343,2025-04-01,58,Electronics,32925.35,6532.67,20
344,2025-04-01,58,Home & Kitchen,31991.12,5863.55,20
345,2025-04-01,58,Fashion,38255.95,7391.82,20
346,2025-04-01,58,Beauty & Personal Care,27868.48,5121.06,20
347,2025-04-01,58,Grocery & FMCG,30870.52,7606.44,20
348,2025-04-01,58,Sports & Lifestyle,16340.4,3491.94,20
349,2025-04-01,59,Electronics,38496.18,5959.32,33
350,2025-04-01,59,Home & Kitchen,38831.99,8279.98,21
351,2025-04-01,59,Fashion,39777.89,6138.94,39
352,2025-04-01,59,Beauty & Personal Care,39728.89,7859.88,22
353,2025-04-01,59,Grocery & FMCG,42835.53,11838.36,32
354,2025-04-01,59,Sports & Lifestyle,23982.9,6510.47,29
355,2025-04-01,60,Electronics,47197.3,8317.15,39
356,2025-04-01,60,Home & Kitchen,41906.03,7734.87,20
357,2025-04-01,60,Fashion,44247.7,6613.05,30
358,2025-04-01,60,Beauty & Personal Care,37377.81,8241.38,20
359,2025-04-01,60,Grocery & FMCG,41013.84,9812.49,31
360,2025-04-01,60,Sports & Lifestyle,23637.17,5379.43,20
361,2025-04-01,61,Electronics,52029.82,13380.26,37
362,2025-04-01,61,Home & Kitchen,45197.93,10619.02,45
363,2025-04-01,61,Fashion,48120.78,7648.86,32
364,2025-04-01,61,Beauty & Personal Care,36777.87,9984.63,20
365,2025-04-01,61,Grocery & FMCG,39189.36,9104.0,20
366,2025-04-01,61,Sports & Lifestyle,22688.22,3345.34,20
367,2025-04-01,62,Electronics,55090.18,7983.95,51
368,2025-04-01,62,Home & Kitchen,57093.78,15554.11,68
369,2025-04-01,62,Fashion,52078.3,9153.04,49
370,2025-04-01,62,Beauty & Personal Care,48197.78,11217.82,44
371,2025-04-01,62,Grocery & FMCG,55275.08,15497.23,51
372,2025-04-01,62,Sports & Lifestyle,28423.39,5017.37,20
373,2025-04-01,63,Electronics,57858.85,17262.29,43
374,2025-04-01,63,Home & Kitchen,40411.15,8922.08,20
375,2025-04-01,63,Fashion,49790.99,10393.91,28
376,2025-04-01,63,Beauty & Personal Care,45504.21,13121.94,53
377,2025-04-01,63,Grocery & FMCG,45090.86,10921.26,56
378,2025-04-01,63,Sports & Lifestyle,33156.92,5593.73,23
379,2025-04-01,64,Electronics,41734.6,6968.36,23
380,2025-04-01,64,Home & Kitchen,38261.65,10857.05,20
381,2025-04-01,64,Fashion,46686.0,11672.24,26
382,2025-04-01,64,Beauty & Personal Care,33715.51,5113.97,20
383,2025-04-01,64,Grocery & FMCG,33617.1,4820.53,22
384,2025-04-01,64,Sports & Lifestyle,22022.25,6070.27,20
385,2025-04-01,65,Electronics,47147.24,11254.98,39
386,2025-04-01,65,Home & Kitchen,49180.45,11638.45,29
387,2025-04-01,65,Fashion,56995.32,13411.09,24
388,2025-04-01,65,Beauty & Personal Care,43181.03,7844.4,21
389,2025-04-01,65,Grocery & FMCG,50898.42,10377.63,21
390,2025-04-01,65,Sports & Lifestyle,27985.56,7958.83,20
391,2025-04-01,66,Electronics,48692.87,8250.58,20
392,2025-04-01,66,Home & Kitchen,47021.6,7709.65,31
393,2025-04-01,66,Fashion,56345.23,9145.2,51
394,2025-04-01,66,Beauty & Personal Care,39648.26,11448.86,23
395,2025-04-01,66,Grocery & FMCG,40107.55,11732.1,20
396,2025-04-01,66,Sports & Lifestyle,28434.2,6316.16,26
397,2025-04-01,67,Electronics,56515.43,10214.31,55
398,2025-04-01,67,Home & Kitchen,44026.85,11908.11,20
399,2025-04-01,67,Fashion,49540.35,7170.04,26
400,2025-04-01,67,Beauty & Personal Care,43638.35,10052.0,25
401,2025-04-01,67,Grocery & FMCG,43151.71,8376.57,22
402,2025-04-01,67,Sports & Lifestyle,25889.19,4433.92,20
403,2025-04-01,68,Electronics,34497.2,4955.97,21
404,2025-04-01,68,Home & Kitchen,27574.31,5424.85,20
405,2025-04-01,68,Fashion,36060.66,7106.95,20
406,2025-04-01,68,Beauty & Personal Care,24255.59,3854.45,20
407,2025-04-01,68,Grocery & FMCG,26230.64,7314.92,20
408,2025-04-01,68,Sports & Lifestyle,13757.54,2381.41,20
409,2025-04-01,69,Electronics,45574.84,12116.25,38
410,2025-04-01,69,Home & Kitchen,37192.95,9372.3,20
411,2025-04-01,69,Fashion,49077.52,13848.06,32
412,2025-04-01,69,Beauty & Personal Care,28516.59,4759.65,33
413,2025-04-01,69,Grocery & FMCG,40488.02,5722.97,47
414,2025-04-01,69,Sports & Lifestyle,21563.46,3388.65,20
415,2025-04-01,70,Electronics,41581.67,7165.87,25
416,2025-04-01,70,Home & Kitchen,37505.86,8274.03,21
417,2025-04-01,70,Fashion,51437.21,13691.51,26
418,2025-04-01,70,Beauty & Personal Care,37764.08,6670.98,20
419,2025-04-01,70,Grocery & FMCG,38369.57,11167.69,26
420,2025-04-01,70,Sports & Lifestyle,21520.85,5200.23,20
421,2025-04-01,71,Electronics,38125.28,11025.44,45
422,2025-04-01,71,Home & Kitchen,30500.33,7568.96,20
423,2025-04-01,71,Fashion,36731.81,10215.24,30
424,2025-04-01,71,Beauty & Personal Care,33531.13,8011.15,21
425,2025-04-01,71,Grocery & FMCG,32477.11,7265.18,20
426,2025-04-01,71,Sports & Lifestyle,18193.6,4243.76,20
427,2025-04-01,72,Electronics,55016.09,15230.32,62
428,2025-04-01,72,Home & Kitchen,55386.63,10517.19,31
429,2025-04-01,72,Fashion,61371.81,12847.02,25
430,2025-04-01,72,Beauty & Personal Care,41806.52,7000.2,22
431,2025-04-01,72,Grocery & FMCG,36026.39,9060.99,29
432,2025-04-01,72,Sports & Lifestyle,22968.07,5107.3,20
433,2025-04-01,73,Electronics,51846.48,12133.88,29
434,2025-04-01,73,Home & Kitchen,52061.28,11007.72,28
435,2025-04-01,73,Fashion,46142.17,12677.64,43
436,2025-04-01,73,Beauty & Personal Care,42533.33,6746.13,20
437,2025-04-01,73,Grocery & FMCG,47389.57,8953.9,39
438,2025-04-01,73,Sports & Lifestyle,23860.1,5824.22,20
439,2025-04-01,74,Electronics,53779.19,10785.3,63
440,2025-04-01,74,Home & Kitchen,46583.02,12767.88,21
441,2025-04-01,74,Fashion,46233.35,7729.54,23
