ReturnID,OrderID,ReturnDate,CustomerKey,ProductKey,StoreKey,QuantityReturned,ReturnReasonKey,RefundAmount
40,1141355,2025-11-03,49002,2145,35,1,3,18878.26
41,1043942,2025-07-19,24997,1453,30,1,4,217.56
42,1144223,2025-08-22,22237,2804,30,1,2,144.39
43,1121141,2026-02-02,48272,2582,86,1,5,40148.46
44,1021145,2025-08-26,24322,112,104,1,1,24457.94
45,1080796,2025-12-31,38751,1724,29,1,5,8789.96
46,1166928,2026-03-10,42739,2956,63,1,4,1374.5
47,1160006,2025-11-29,33552,1395,27,1,2,3710.22
48,1006045,2026-02-27,37631,2505,114,1,3,17364.9
49,1168612,2026-01-17,25828,1325,52,1,5,5021.16
50,1067746,2025-09-21,30609,145,119,1,2,47509.4
51,1178906,2026-01-19,10941,1343,34,1,4,8100.64
52,1055946,2026-01-25,32957,2456,21,1,1,32.97
53,1075747,2025-10-31,32674,1850,103,1,2,2538.72
54,1027110,2026-01-02,16184,1184,85,1,3,19036.82
55,1163360,2026-02-22,47276,130,55,1,1,284.99
56,1193399,2025-10-18,18700,197,94,1,3,1263.24
57,1109652,2026-01-30,14094,2748,117,1,1,1701.62
58,1179592,2025-06-25,24762,2451,73,1,5,1708.55
59,1047660,2025-10-24,48105,460,112,1,4,159089.88
60,1154466,2025-09-04,44176,2807,27,1,3,3777.56
61,1125088,2025-11-09,17344,1588,28,1,1,4912.05
62,1079588,2025-09-02,31350,187,55,1,4,2694.37
63,1001198,2026-01-12,42867,30,67,1,2,912.76
64,1187745,2025-10-26,16097,2917,28,1,4,262.94
65,1022293,2025-11-07,39797,2990,105,1,4,7002.71
66,1183186,2025-11-19,43228,494,69,1,3,86902.12
67,1045189,2025-07-12,8040,518,66,1,4,16245.14
68,1096779,2025-07-27,36042,2484,82,1,3,10675.98
69,1166814,2025-07-10,21851,78,61,1,3,4152.96
70,1037542,2026-02-21,5895,2708,91,1,1,4657.75
71,1199874,2025-11-04,37454,1077,64,1,1,144403.88
72,1049043,2025-11-28,39228,386,25,1,5,13744.38
73,1040181,2026-03-31,36411,1690,94,1,2,4035.3
74,1151862,2025-08-19,44515,2720,64,1,4,127100.68
75,1128551,2026-03-18,15677,537,82,1,2,133943.74
76,1160096,2025-11-12,48064,1776,64,1,2,2518.83
77,1029085,2025-07-25,35510,2067,116,1,4,17301.52
78,1031846,2026-04-12,34425,163,106,1,2,5360.08
79,1068644,2025-06-14,44328,547,84,1,3,2063.3
80,1048992,2026-01-28,26639,1014,55,1,2,31033.81
81,1191640,2025-08-17,31661,736,40,1,1,3653.03
82,1054828,2026-03-26,9148,1147,111,1,3,38.17
83,1107426,2025-06-13,35088,998,49,1,5,1705.58
84,1006087,2025-11-06,32544,1387,106,1,3,5665.89
85,1181630,2026-02-24,41143,1065,51,1,5,7327.49
86,1039325,2026-02-08,40264,799,19,1,2,56458.41
87,1175655,2025-05-15,29926,674,60,1,2,2209.96
88,1072562,2025-08-05,19996,2867,83,1,3,473.15
89,1049656,2025-07-30,31106,2480,19,1,5,5985.39
90,1168899,2025-08-08,16030,1775,48,1,4,7199.0
91,1148486,2026-03-18,26312,1938,33,1,5,9792.78
92,1039666,2025-11-04,48000,2923,49,1,2,816.44
93,1143473,2025-11-03,17607,300,92,1,4,35009.91
94,1044718,2026-03-29,15094,128,46,1,1,3661.3
95,1055237,2025-07-14,7318,2945,82,1,1,137.66
96,1152494,2025-06-01,12397,2126,59,1,2,2759.51
97,1163823,2025-09-16,22029,1319,80,1,1,584.59
98,1051630,2025-10-10,30187,112,31,1,1,25046.86
99,1023084,2026-03-24,17872,1198,113,1,4,56679.51
100,1146193,2025-05-28,29691,1097,79,1,5,8835.02
101,1107189,2025-09-09,46291,1192,75,1,1,35807.96
102,1000559,2025-11-19,711,26,36,1,1,133417.68
103,1110312,2025-08-03,35076,686,41,1,2,2815.73
104,1079908,2025-05-26,23831,1415,45,1,4,2173.39
105,1180291,2025-08-20,30760,2788,14,1,5,31204.43
106,1195638,2026-03-11,6506,1469,41,1,5,7438.52
107,1081076,2025-07-16,13617,500,68,1,1,26878.67
108,1172661,2025-05-03,41605,2958,98,1,4,355917.18
109,1159432,2025-12-04,21329,760,91,1,5,5787.58
110,1000625,2025-09-23,41225,113,96,1,5,11256.89
111,1105485,2025-12-10,17896,194,50,1,2,806.27
112,1141054,2025-08-09,16258,804,1,1,3,1271.76
113,1076230,2025-04-14,2964,948,86,1,3,12540.97
114,1043339,2026-03-11,33143,130,36,1,2,277.03
115,1004216,2026-03-01,36646,2762,107,1,5,3526.72
116,1052740,2025-05-31,19799,1047,116,1,4,4920.51
117,1108367,2026-03-17,3269,2877,45,1,3,510.19
118,1045450,2026-04-18,32914,492,72,1,2,49108.42
119,1133275,2025-11-11,31706,943,54,1,2,496.2
120,1098004,2025-06-29,10621,1169,100,1,4,39033.92
121,1105267,2025-12-29,5776,2988,38,1,5,3992.87
122,1014250,2026-01-14,19107,1295,112,1,2,3046.14
123,1130829,2025-06-11,13564,907,78,1,3,1276.38
124,1018126,2026-04-14,31968,2253,96,1,2,786.16
125,1091931,2025-06-12,4875,1208,30,1,4,9830.96
126,1158186,2026-04-06,12295,480,84,1,3,1368.13
127,1157093,2025-12-14,8529,874,70,1,1,1478.67
128,1099513,2025-09-16,14943,168,90,1,1,1216.65
129,1184227,2025-08-17,17277,2170,78,1,1,712.12
130,1092253,2025-10-23,38936,2107,44,1,3,33874.45
131,1041428,2025-04-30,20370,22,59,1,5,1491.72
132,1030297,2025-05-28,27664,1479,21,1,3,3385.56
133,1149830,2025-12-06,34276,2584,54,1,2,86709.55
134,1137094,2026-01-22,44296,2134,47,1,2,460.95
135,1083320,2026-03-08,22071,541,49,1,2,2085.14
136,1061426,2025-07-14,2323,1818,73,1,4,3052.52
137,1027476,2025-10-08,30406,1436,90,1,4,85128.82
138,1026737,2025-09-24,30040,649,35,1,3,6889.77
139,1187733,2025-08-01,8259,1906,108,1,1,1308.59
140,1035094,2026-03-28,32427,1789,53,1,5,2599.64
141,1114844,2026-03-20,44428,843,53,1,1,1094.19
142,1142194,2026-04-02,22288,1633,22,1,2,501.39
143,1072547,2025-12-02,15960,1844,95,1,2,4266.79
144,1027961,2025-06-03,5019,2362,62,1,4,15250.74
145,1150122,2025-05-18,49078,1139,64,1,1,4740.85
146,1115517,2025-10-24,41764,2867,48,1,1,916.26
147,1108396,2025-12-13,35907,390,117,1,3,168.35
148,1113931,2025-09-22,42748,2988,109,1,3,4024.3
149,1038055,2025-05-01,17397,848,107,1,2,3012.58
150,1103854,2025-12-24,43330,1772,11,1,1,54918.42
151,1106989,2025-09-09,3999,146,10,1,4,2695.81
152,1108432,2025-05-26,42740,2378,86,1,3,905.8
153,1097017,2026-02-28,15125,2096,76,1,5,9805.38
154,1030744,2025-10-23,34984,623,46,1,2,4654.46
155,1078525,2025-12-12,38806,618,44,1,2,82179.98
156,1075470,2025-11-05,43400,522,9,1,4,5834.33
157,1054666,2025-12-11,29830,362,112,1,1,1902.91
158,1048469,2025-06-18,37658,2770,98,1,5,4542.87
159,1074618,2026-02-24,18611,1759,117,1,1,1149.09
160,1048655,2026-03-29,8389,194,58,1,5,455.86
161,1126189,2026-01-16,10087,91,13,1,5,1614.29
162,1037709,2025-05-12,43435,1726,60,1,4,10739.22
163,1139321,2025-07-08,49404,2898,106,1,2,4146.91
164,1106868,2026-03-21,43243,639,65,1,1,1709.14
165,1031058,2026-01-08,28411,1139,51,1,4,3167.84
166,1029282,2025-09-16,27500,542,100,1,4,33909.06
167,1065147,2025-10-17,49388,2156,111,1,3,4519.15
168,1193857,2025-09-04,41695,1393,6,1,3,6032.98
169,1185687,2026-03-15,43622,811,83,1,3,981.3
170,1040758,2025-05-24,30661,944,22,1,2,542.6
171,1057743,2025-10-28,6499,100,29,1,1,419.41
172,1107303,2026-03-24,15374,1917,78,1,3,1594.14
173,1094579,2025-05-26,15528,1752,77,1,5,1069.93
174,1068567,2025-08-15,701,1169,91,1,5,188587.39
175,1123519,2025-12-30,29498,2866,25,1,3,1343.33
176,1093231,2026-03-30,41028,899,78,1,4,783.3
177,1034613,2026-03-26,44860,703,7,1,5,3305.83
178,1097966,2025-12-28,16663,1020,77,1,5,4827.24
179,1169467,2025-11-09,17981,2290,107,1,4,10412.38
180,1179972,2025-10-24,25102,573,35,1,3,308.19
181,1078071,2025-05-18,39095,1396,32,1,3,8186.52
182,1026691,2025-05-14,6833,2307,90,1,5,452.83
183,1134573,2025-10-17,43321,951,66,1,4,13685.42
184,1145884,2026-01-19,25142,2160,96,1,3,11397.74
185,1085997,2025-10-04,48670,2858,79,1,3,987.92
186,1192534,2025-06-14,15860,2458,58,1,5,55818.68
187,1142267,2025-10-14,35012,1613,53,1,5,5044.23
188,1082810,2025-10-07,17196,490,26,1,3,2459.05
189,1096853,2026-02-20,25314,1744,116,1,3,31727.72
190,1167514,2025-06-19,8861,1785,92,1,2,49850.37
191,1073063,2025-12-02,19517,1321,81,1,1,2125.86
192,1197973,2025-05-17,12023,2764,15,1,1,1355.95
193,1175342,2025-12-10,11175,2142,25,1,3,9404.28
194,1024310,2025-10-26,39901,2594,49,1,4,7126.26
195,1175454,2025-07-14,12730,605,101,1,2,372.52
196,1059393,2026-03-06,16806,1509,84,1,2,1327.95
197,1132974,2025-11-08,4590,2152,27,1,1,772.27
198,1112265,2025-07-20,6728,1232,48,1,2,59142.21
199,1162496,2026-01-20,38503,1984,82,1,4,529.37
200,1182276,2025-08-30,5963,135,45,1,2,86755.78
201,1029638,2025-06-01,39063,2338,12,1,2,1291.16
202,1189947,2025-10-01,26189,1377,49,1,4,601.29
203,1045066,2026-04-06,31761,414,104,1,2,10422.54
204,1069354,2025-05-12,38726,2068,44,1,1,2358.72
205,1093328,2025-09-18,36242,633,47,1,1,304.67
206,1120174,2025-11-13,4347,1206,90,1,4,2243.83
207,1019487,2026-03-27,20432,645,42,1,2,6260.98
208,1168960,2026-04-11,14399,1035,35,1,3,255822.06
209,1120987,2025-09-24,50000,382,115,1,3,15844.9
210,1114202,2025-04-14,11358,22,42,1,3,1462.15
211,1005368,2025-12-20,28433,1968,34,1,1,802.67
212,1041480,2026-01-12,7197,486,32,1,3,102.57
213,1197881,2025-04-12,8249,905,106,1,2,3929.66
214,1053487,2026-02-16,42926,258,93,1,2,6897.15
215,1178487,2025-09-13,2959,1206,100,1,3,2268.23
216,1165648,2025-09-22,32122,1829,44,1,1,2334.81
217,1120503,2026-01-09,39459,1508,54,1,2,42794.04
218,1041358,2026-03-24,17738,2727,43,1,4,19809.27
219,1155016,2025-04-10,47584,2737,90,1,2,12745.2
220,1103799,2026-01-07,48257,542,51,1,2,29742.56
221,1192044,2025-07-24,22390,245,22,1,5,960.01
222,1089757,2025-12-27,11445,12,56,1,5,3569.19
223,1076882,2025-10-14,49383,2168,103,1,2,2336.03
224,1056202,2025-07-30,35546,2748,3,1,2,1720.73
225,1098979,2026-01-18,6637,864,13,1,5,9880.7
226,1103737,2025-04-21,45645,2289,57,1,5,21791.4
227,1011349,2025-05-29,5564,512,85,1,1,8418.74
228,1016520,2025-06-04,18786,2447,19,1,5,2470.74
229,1175140,2025-05-24,26345,718,102,1,2,239.95
230,1187313,2026-02-02,48000,730,16,1,1,645.93
231,1197463,2025-10-29,42224,29,15,1,3,18479.26
232,1063486,2025-08-09,35542,961,109,1,3,2617.02
233,1157379,2025-10-29,6122,2242,44,1,4,12468.35
234,1031427,2025-06-12,39197,441,14,1,1,15445.96
235,1167603,2025-08-01,33028,1475,100,1,2,7153.31
236,1102174,2025-10-24,29391,552,114,1,2,12144.09
237,1001159,2026-01-07,2647,248,79,1,4,1529.07
238,1057108,2026-01-17,33203,2660,39,1,5,74574.43
239,1058868,2025-08-13,36921,639,67,1,2,1649.51
240,1072190,2025-12-21,38465,2736,30,1,2,200.2
241,1008319,2026-01-13,3037,668,52,1,1,3508.9
242,1163032,2026-04-15,20323,2860,89,1,3,113409.34
243,1073886,2025-05-05,29443,799,119,1,2,18413.69
244,1104269,2025-08-16,17552,2458,40,1,3,56035.59
245,1028135,2025-07-28,5381,910,21,1,2,1407.86
246,1070841,2025-06-06,47250,890,105,1,3,4501.44
247,1155251,2025-08-02,5354,592,34,1,5,880.48
248,1016888,2025-11-25,2754,1478,35,1,4,7498.34
249,1089734,2025-10-21,30179,2987,81,1,4,6099.77
250,1022628,2025-09-21,46632,1630,40,1,2,54949.0
251,1100826,2026-01-07,15792,6,110,1,4,259924.88
252,1017591,2025-10-10,16561,1079,6,1,5,51534.77
253,1025722,2025-10-21,40421,1451,89,1,2,2320.76
254,1012365,2025-08-03,40692,810,21,1,1,2424.12
255,1170039,2026-03-25,13253,732,94,1,4,6496.56
256,1063745,2025-10-17,42905,2589,44,1,1,12877.38
257,1018473,2025-07-24,47201,2750,46,1,3,2683.81
258,1040410,2025-07-17,12116,2362,63,1,2,11743.55
259,1076457,2026-01-30,36898,1493,2,1,3,28390.98
260,1045262,2025-10-03,43514,1381,7,1,3,5722.45
261,1127220,2025-07-04,20807,1044,23,1,1,103830.95
262,1198446,2026-03-01,16345,178,113,1,2,1238.85
263,1195912,2025-06-28,42928,1217,18,1,5,1740.0
264,1127597,2026-01-08,997,2920,55,1,2,79.63
265,1183624,2025-05-17,22706,1303,2,1,3,773.57
266,1057535,2025-11-24,47606,1595,71,1,5,7131.16
267,1080088,2025-11-25,24644,2637,89,1,1,62593.81
268,1130698,2025-09-01,43492,2278,13,1,1,9249.31
269,1163826,2025-11-10,25357,148,110,1,1,439.7
270,1004263,2025-05-19,42418,2292,99,1,2,3968.13
271,1160789,2025-05-05,15216,887,3,1,1,32900.44
272,1029846,2025-05-02,39950,480,94,1,2,2788.26
273,1092456,2026-04-22,30724,2755,65,1,5,26515.99
274,1037664,2026-01-15,4779,182,10,1,4,588.94
275,1175368,2025-11-18,33772,259,77,1,2,30468.5
276,1020724,2025-12-23,47491,2383,17,1,4,8913.67
277,1151183,2026-01-06,37552,312,6,1,1,188643.14
278,1109665,2025-04-29,41898,35,46,1,3,2165.75
279,1009520,2025-12-04,33231,1495,58,1,2,5329.61
280,1198326,2026-01-26,31709,490,111,1,5,2591.91
281,1011241,2026-04-11,49410,1630,61,1,1,111294.13
282,1099613,2025-06-27,8246,1038,5,1,3,1302.43
283,1100145,2025-11-03,12011,269,62,1,1,59993.78
284,1108654,2026-04-04,38008,2361,97,1,1,397.13
285,1060326,2026-03-08,26204,70,11,1,3,1099.52
286,1089391,2025-11-22,40009,2790,26,1,1,2041.53
287,1134871,2026-03-05,48283,1143,69,1,3,9173.82
288,1075511,2026-02-20,37298,348,2,1,3,3672.4
289,1052650,2025-08-26,31393,134,84,1,5,213.78
290,1066603,2025-10-01,12724,2588,3,1,2,1493.56
291,1193965,2026-03-12,33615,2526,36,1,5,20075.31
292,1006742,2025-10-25,13168,2140,15,1,5,1390.13
293,1073620,2025-06-15,39182,2510,4,1,4,2097.45
294,1040192,2025-12-01,14853,1841,42,1,3,46255.32
295,1064300,2025-09-26,46716,554,87,1,5,1506.04
296,1007980,2025-06-29,12416,516,16,1,4,7578.49
297,1081035,2025-08-10,27089,133,19,1,2,6064.01
298,1110668,2026-03-22,2210,38,22,1,3,1015.22
299,1192553,2025-12-04,49501,2584,119,1,4,65063.97
300,1110798,2025-07-17,3953,905,104,1,3,6965.12
301,1070464,2025-07-23,23194,2542,96,1,3,539.46
302,1173953,2025-12-10,21870,1874,53,1,4,11089.07
303,1043615,2025-05-13,39924,523,63,1,5,4007.23
304,1042652,2025-08-30,47187,1564,66,1,5,4270.3
305,1195764,2025-08-28,38161,1389,99,1,5,4792.34
306,1195014,2026-01-03,47434,2266,106,1,5,21947.38
307,1067975,2025-09-13,34394,2882,73,1,5,11346.52
308,1135437,2026-01-20,5209,525,88,1,1,101.22
309,1071300,2025-12-27,23544,19,29,1,4,8398.92
310,1139896,2025-04-26,30472,2280,70,1,4,8906.93
311,1062472,2025-07-26,4221,2977,75,1,4,5735.57
312,1189904,2025-10-08,10775,340,111,1,5,4025.78
313,1162213,2025-05-14,28440,1177,25,1,3,257299.71
314,1006899,2025-09-24,37877,2214,114,1,1,21579.39
315,1165918,2026-02-11,21842,2310,55,1,4,2989.34
316,1029484,2026-01-28,26416,641,15,1,1,72124.52
317,1011618,2025-11-23,35200,2074,98,1,4,28.2
318,1025967,2026-03-14,12752,210,81,1,5,40765.84
319,1157130,2025-06-08,38317,591,60,1,5,1980.6
320,1052594,2025-09-20,22365,2283,29,1,3,262.68
321,1111492,2025-08-24,36770,2835,48,1,4,327.09
322,1025416,2025-12-04,8521,146,67,1,4,5020.63
323,1106619,2025-08-26,49791,1178,10,1,2,2962.35
324,1061520,2025-12-04,49561,1176,8,1,1,4302.09
325,1130984,2025-12-03,38243,527,90,1,2,97064.67
326,1193648,2025-11-29,27168,465,36,1,1,3835.65
327,1039554,2025-12-02,49369,1295,106,1,2,7106.03
328,1084544,2026-04-05,26160,541,84,1,2,2190.41
329,1074052,2025-12-06,47594,686,81,1,4,2987.98
330,1017065,2026-02-04,15962,2594,45,1,5,2378.99
331,1009586,2025-11-13,15156,309,66,1,1,104.05
332,1186208,2025-05-14,5636,213,71,1,5,24734.43
333,1096575,2025-12-29,45524,612,115,1,5,14664.41
334,1121717,2025-11-30,27583,1085,98,1,2,36898.91
335,1154797,2025-07-10,9391,137,23,1,4,1581.1
336,1014652,2026-01-18,8091,1128,75,1,5,671.49
337,1181195,2025-04-20,8779,487,116,1,1,21269.58
338,1051081,2025-09-04,47256,1204,119,1,5,1162.42
339,1014659,2026-03-26,6881,1844,36,1,4,1534.48
340,1121051,2026-02-10,40355,895,85,1,4,1293.55
341,1164401,2026-01-06,25813,3,21,1,1,27732.04
342,1160239,2025-05-17,10222,1162,59,1,3,2030.58
343,1124827,2026-02-10,37104,52,44,1,3,7968.95
344,1159323,2025-04-17,10243,1998,19,1,3,3174.25
345,1075825,2025-10-23,1137,1066,64,1,4,4234.55
346,1014160,2025-11-09,47596,100,99,1,1,877.1
347,1191385,2025-10-03,22474,2287,42,1,3,1001.51
348,1135821,2025-09-04,47538,1914,9,1,4,349530.98
349,1030581,2026-02-01,16753,2590,21,1,5,87919.34
350,1032316,2025-09-14,8214,1263,29,1,5,41.3
351,1094118,2025-08-05,12254,2700,6,1,1,1349.84
352,1072470,2026-01-14,7386,1405,115,1,3,5959.09
353,1166938,2026-03-26,32274,2294,7,1,4,3872.97
354,1102473,2025-10-27,26454,2430,119,1,5,1566.81
355,1177715,2025-12-20,22429,2941,25,1,5,16879.38
356,1191356,2025-08-11,18727,2328,45,1,4,18008.57
357,1136592,2025-10-15,48550,2020,8,1,2,643.62
358,1192995,2025-10-31,19093,276,86,1,5,819.84
359,1045804,2026-01-14,33671,638,102,1,1,715.04
360,1039739,2025-11-19,18615,1722,70,1,4,587.51
361,1131341,2025-09-16,40994,865,30,1,5,7918.28
362,1191269,2026-01-17,27682,2235,82,1,5,75094.91
363,1186569,2025-12-31,33419,2103,23,1,3,541.38
364,1159216,2025-05-17,46824,2056,103,1,4,9802.0
365,1085564,2025-08-19,5842,685,12,1,3,980.18
366,1138518,2026-02-25,29713,2949,62,1,3,1498.07
367,1123713,2025-09-18,29665,2239,53,1,5,17257.38
368,1185950,2025-12-13,12762,852,60,1,1,829.65
369,1070793,2025-07-10,27524,1614,66,1,2,10681.14
370,1116645,2025-10-17,45012,1041,6,1,4,26779.64
371,1181366,2025-07-09,33162,1404,76,1,3,2318.8
372,1188436,2025-11-07,11486,665,82,1,5,932.78
373,1167329,2026-04-02,8405,2178,73,1,2,3493.14
374,1015868,2025-06-26,16985,1334,53,1,1,851.25
375,1056420,2025-11-17,34913,2602,117,1,1,1294.63
376,1039076,2025-04-26,23102,479,54,1,4,18214.27
377,1012572,2025-11-23,46218,728,21,1,1,9495.47
378,1109352,2025-10-28,5975,2056,86,1,5,8686.25
379,1090064,2025-07-21,24022,127,67,1,1,3459.77
380,1005019,2025-12-16,42188,2782,96,1,1,16518.72
381,1168184,2025-08-23,49281,2675,13,1,4,2223.26
382,1151921,2025-08-21,10270,1283,44,1,2,399.2
383,1104404,2026-02-07,36201,2909,25,1,5,443.05
384,1146677,2026-01-26,18903,2605,86,1,1,8675.24
385,1063859,2025-05-15,49632,1354,68,1,2,149.34
386,1060484,2025-10-20,48171,36,72,1,1,5748.69
387,1012546,2025-10-05,46310,1063,17,1,2,22028.16
388,1180326,2026-02-21,6743,941,43,1,4,58429.19
389,1135920,2026-01-27,1421,2384,91,1,3,9467.5
390,1192573,2025-11-18,19543,1945,70,1,2,22398.09
391,1043649,2025-12-05,11233,719,60,1,1,22710.82
392,1128369,2026-04-14,2148,1592,75,1,4,136.4
393,1085506,2025-10-24,45955,173,89,1,1,5444.05
394,1118821,2025-10-09,12584,2830,25,1,3,68701.47
395,1022627,2025-05-26,21743,2032,71,1,2,502.19
396,1099221,2025-06-26,46824,2208,35,1,4,67849.4
397,1046141,2026-02-03,35428,1547,88,1,4,1047.22
398,1032265,2026-01-04,26938,1668,28,1,5,4456.42
399,1195552,2025-12-08,14465,1045,62,1,1,2065.03
400,1035841,2025-10-17,28312,655,39,1,1,4167.12
401,1175640,2026-01-18,41408,1071,40,1,5,2586.45
402,1140135,2025-12-21,1336,438,71,1,1,4430.15
403,1058423,2025-07-05,29923,908,117,1,3,1248.22
404,1052302,2025-05-09,23554,683,42,1,5,4379.76
405,1176948,2025-12-09,18537,908,77,1,1,1204.95
406,1198500,2025-06-21,7669,1056,33,1,5,14321.04
407,1167896,2026-04-15,1589,1115,111,1,3,298.55
408,1167614,2025-04-23,5963,852,68,1,5,638.84
409,1169895,2025-10-10,40844,1320,65,1,1,69923.21
410,1187850,2025-07-30,7842,2567,13,1,3,641.33
411,1099465,2026-02-17,12836,39,42,1,4,4837.43
412,1106380,2025-10-09,28146,239,55,1,4,55.2
413,1178512,2025-09-27,8447,905,83,1,4,3938.01
414,1047065,2025-12-23,9701,1739,60,1,4,136.06
415,1165171,2025-11-01,48979,1795,120,1,5,821.35
416,1003965,2025-06-12,43156,2164,70,1,2,1206.17
417,1199873,2026-04-07,31932,1697,50,1,2,3750.83
418,1127773,2025-10-19,40070,370,3,1,5,1926.91
419,1143498,2025-07-30,351,1151,115,1,4,9519.75
420,1083066,2026-04-11,45180,1844,116,1,1,3327.05
421,1069344,2026-04-01,32274,658,9,1,3,3001.06
422,1025962,2026-02-12,37313,509,113,1,4,56995.64
423,1168221,2025-05-27,18246,2309,26,1,1,19.07
424,1063329,2025-09-28,9564,2291,28,1,3,77740.91
425,1181795,2025-09-13,3507,508,95,1,3,3404.35
426,1061075,2026-01-26,34626,719,70,1,5,43743.46
427,1174684,2026-04-22,34558,1186,1,1,5,886.59
428,1079557,2025-08-29,23928,2216,49,1,4,16130.63
429,1106002,2025-07-21,8099,2125,104,1,1,9933.73
430,1045479,2025-06-10,43995,1575,3,1,4,13262.85
431,1125260,2026-03-27,49110,2066,60,1,5,13262.42
432,1009363,2025-11-03,8732,1217,120,1,4,7525.43
433,1170082,2025-06-24,25820,693,31,1,1,4406.22
434,1083007,2025-10-15,36678,2260,86,1,3,81592.43
435,1055219,2025-05-21,6102,2304,93,1,3,397.32
436,1004006,2025-09-25,4157,629,60,1,2,14206.31
437,1061227,2026-01-31,22592,2425,14,1,1,13332.63
438,1005692,2025-12-17,1257,2466,118,1,4,1218.95
439,1123657,2026-02-08,40904,2700,116,1,1,1438.6
440,1057679,2026-02-11,39211,932,78,1,5,2063.83
441,1057777,2025-10-27,1634,2852,92,1,5,450.87
442,1089524,2025-11-16,30440,76,12,1,4,187214.76
443,1028053,2026-02-04,20687,2124,52,1,2,30872.99
444,1018686,2026-02-04,42318,205,110,1,4,5923.2
445,1089370,2025-10-29,13896,2619,44,1,5,2251.79
446,1187302,2025-11-28,23626,2915,88,1,4,42374.99
447,1199636,2026-01-02,2191,1977,118,1,5,267.71
448,1100212,2026-01-26,13180,739,19,1,4,3191.84
449,1184574,2025-05-10,11144,304,58,1,3,23518.01
450,1146614,2025-05-25,11148,689,50,1,2,1755.13
451,1108122,2025-06-30,3191,927,50,1,3,11820.78
452,1028106,2025-11-26,48841,363,20,1,1,682.79
453,1110604,2026-01-05,29811,348,108,1,4,3758.41
454,1018944,2026-01-16,38111,618,3,1,5,470548.11
455,1050691,2025-11-07,43407,2918,40,1,1,3025.78
456,1028404,2025-12-12,9610,2540,51,1,4,466.5
457,1020358,2025-11-30,10347,369,26,1,3,208.58
458,1172618,2025-09-15,28365,111,106,1,4,1219.35
459,1180113,2025-11-16,32187,273,78,1,4,2875.76
460,1007391,2025-07-28,19439,1934,73,1,1,1729.14
461,1074129,2026-03-02,259,2075,76,1,3,3060.35
462,1047195,2025-11-05,36899,942,13,1,3,602.46
463,1055710,2025-09-20,3001,291,10,1,2,35300.6
464,1055634,2025-07-10,32768,1483,91,1,3,18928.7
465,1058102,2026-01-04,47209,1295,98,1,5,4546.67
466,1032491,2025-11-01,14596,2763,14,1,2,54675.11
467,1119328,2025-05-09,17233,1485,49,1,3,152693.13
468,1045505,2026-04-06,39135,1867,16,1,2,342.79
469,1119562,2025-06-01,10487,2653,28,1,2,629.22
470,1041778,2025-11-15,43668,647,58,1,4,7609.06
471,1128736,2025-06-01,8689,2236,3,1,3,44031.69
472,1067367,2025-04-22,3855,1916,69,1,3,12672.64
